batch,epochs,lr0,lrf,momentum,optimizer,weight_decay,map_50_95
64,20,0.01,0.01,0.9,SGD,0.0001,0.0025351325359895273
64,20,0.01,0.01,0.9,SGD,0.0005,0.0024145614504163153
64,20,0.01,0.01,0.9,Adamax,0.0001,0.007987261601980277
64,20,0.01,0.01,0.9,Adamax,0.0005,0.0064847953300419345
64,20,0.01,0.01,0.95,SGD,0.0001,0.0024518275258813248
64,20,0.01,0.01,0.95,SGD,0.0005,0.003155937640786275
64,20,0.01,0.01,0.95,Adamax,0.0001,0.003813430276798511
64,20,0.01,0.01,0.95,Adamax,0.0005,0.008275278019237216
64,20,0.01,0.05,0.9,SGD,0.0001,0.002418156142542492
64,20,0.01,0.05,0.9,SGD,0.0005,0.0030364377852260295
64,20,0.01,0.05,0.9,Adamax,0.0001,0.00579864315461128
64,20,0.01,0.05,0.9,Adamax,0.0005,0.00979120528500183
64,20,0.01,0.05,0.95,SGD,0.0001,0.0030612677585360494
64,20,0.01,0.05,0.95,SGD,0.0005,0.002773703185095813
64,20,0.01,0.05,0.95,Adamax,0.0001,0.004356744461726243
64,20,0.01,0.05,0.95,Adamax,0.0005,0.006385683863793287
64,20,0.05,0.01,0.9,SGD,0.0001,0.004335647421228803
64,20,0.05,0.01,0.9,SGD,0.0005,0.005215803938320598
64,20,0.05,0.01,0.9,Adamax,0.0001,0.003033525315421729
64,20,0.05,0.01,0.9,Adamax,0.0005,0.0037546106608346715
64,20,0.05,0.01,0.95,SGD,0.0001,0.011182247601901587
64,20,0.05,0.01,0.95,SGD,0.0005,0.0055019799706722775
64,20,0.05,0.01,0.95,Adamax,0.0001,0.0025511294011732488
64,20,0.05,0.01,0.95,Adamax,0.0005,0.003257767228389772
64,20,0.05,0.05,0.9,SGD,0.0001,0.0034481939835411127
64,20,0.05,0.05,0.9,SGD,0.0005,0.004822625245830665
64,20,0.05,0.05,0.9,Adamax,0.0001,0.003533957747442016
64,20,0.05,0.05,0.9,Adamax,0.0005,0.0031599023062989706
64,20,0.05,0.05,0.95,SGD,0.0001,0.013419098603689788
64,20,0.05,0.05,0.95,SGD,0.0005,0.004978501823916853
64,20,0.05,0.05,0.95,Adamax,0.0001,0.0030392019416289415
64,20,0.05,0.05,0.95,Adamax,0.0005,0.003946909588045122
